FACTOR,Description
Strategy,"The environmental impact of products and services and the contribution towards sustainable consumerism. This feature includes inputs including, but not limited to, the development of hybrid vehicles, smart water solutions  and sustainable building products as well as offering environmental and renewable/clean energy products. Responsible asset management, the total supply of renewable energy and environmental products targets are also included."
Strategy,"The category addresses an industry's capacity to manage risks and opportunities associated with incorporating social, environmental, and political transitions into long-term business model planning. This includes responsiveness to the transition to a low-carbon and climate-constrained economy, as well as growth and creation of new markets among unserved and underserved socio-economic populations. The category highlights industries in which evolving environmental and social realities may challenge companies to fundamentally adapt or may put their business models at risk."
Strategy,"The category addresses incorporation of environmental, social, and governance (ESG) considerations in characteristics of products and services provided or sold by the company. It includes, but is not limited to, managing the lifecycle impacts of products and services, such as those related to packaging, distribution, use-phase resource intensity, and other environmental and social externalities that may occur during their use-phase or at the end of life. The category captures a company's ability to address customer and societal demand for more sustainable products and services as well as to meet evolving environmental and social regulation. It does not address direct environmental or social impacts of the company's operations nor does it address health and safety risks to consumers from product use, which are covered in other categories."
Product Impact,"This issue evaluates the extent to which companies may face lost market access or product reformulation costs due to the presence of chemicals of concern. Scores are based on exposure to products known to contain substances of high concern, exposure to evolving regulations; chemical phase-out plans, transparency, and development of viable alternatives; and controversies."
Product Impact,"The quality and safety of products and services and level of customer satisfaction. This feature is composed of lawsuits, policies, targets and monitoring relating to the product quality management as well as consumer satisfaction and others."
Product Impact,"This issue evaluates the extent to which companies may face unanticipated credit losses, litigation or regulatory change due to offering financial products that lack transparency or are unsafe to the end user. Scores are based on exposure to overleveraged households; strategy/programs to protect customers' interests; high-risk financial products; and controversies."
Product Impact,"This issue evaluates the extent to which companies may face product recalls or lost customer trust due to product quality concerns. Scores are based on exposure to products with greater incidence of safety issues; efforts to ensure product safety and quality through the supply chain, operations, and marketing; recalls, warning letters, warranty payments; and controversies."
Product Impact,"A: Prevent product safety risks. B: Manage product safety incidents in an appropriate and responsive way. To promote the safety of consumer products by addressing risks of injury (through coordinating recalls, evaluating products that are the subject of consumer complaints or industry reports, etc.); developing uniform safety standards; and conducting research into product-related illness and injury"
Customer Relations,"A: Prevent abusive contract clauses and seek a mutual beneficial relationship: - Manage definitions of contractual clauses to prevent an unbalanced and abusive role of companies in relation to customers. - Prevent abusive practices (forced sales, lack of information on purchasing agreements, length and condition of purchase) B. Respect Contractual Clauses - Commitment to products' conformity in contractual clauses - Commitment to the respect of contract clauses: delivery delays, completion of delivery, billing conditions.C. Establish a means of recourse and due process: - Access to services - Treatment of complaints - Recourse Management - Level of client satisfaction - Updates and continuous improvement of procedures for treating sales and after sales."
Social Impact,"A: Prevent and manage any negative social impacts related to the product and/or service. B: Make the product and/or service, available to those who need it."
Labour rights,"Adherence to and promotion of human rights throughout all business activities, including the supply chain. Inputs include suppliers' human rights consideration, employee human rights training and policy as well as targets and monitoring of these."
Promotion of Development,"The category addresses management of the relationship between businesses and the communities in which they operate, including, but not limited to, management of direct and indirect impacts on core human rights and the treatment of indigenous peoples. More specifically, such management may cover socio-economic community impacts, community engagement, environmental justice, cultivation of local workforces, impact on local businesses, license to operate, and environmental/social impact assessments. The category does not include environmental impacts such as air pollution or waste which, although they may impact the health and safety of members of local communities, are addressed in separate categories."
Environmental Strategy,This key issue evaluates the extent to which companies take advantage of opportunities linked to the development of renewable power production. Scores are based on exposure to renewable power subsidies and preferential policies; strategic investments in renewable power generation and related services; and renewable capacity as % of total and trend.
Supplier and Contractor Disclosure,A: Monitor the environmental performance of suppliers and contractors. Awareness and disclosure commitments contained in all contracts. The successful management of supplier performance directly affects the quality of the whole supply chain by ensuring  supplier data is accurate
Promotion of Development,"This issue evaluates companies' ability to attract, retain and develop human capital. Scores are based on reliance on highly skilled or highly trained workers and exposure to recent restructuring events; strategy and programs related to employee engagement, training and development and benefits; employee turnover trend and vs. peers; and workplace controversies."
Supplier and Contractor Performance,"This issue evaluates the extent to which companies may face reputational risks by sourcing or using raw materials with high environmental impacts. Scores are based on reliance on environmentally intensive agricultural raw materials; sustainable sourcing policies, commitments, and certification; and environmental controversies in the supply chain."
Waste,"The category addresses a company's water use, water consumption, wastewater generation, and other impacts of operations on water resources, which may be influenced by regional differences in the availability and quality of and competition for water resources. More specifically, it addresses management strategies including, but not limited to, water efficiency, intensity, and recycling. Lastly, the category also addresses management of wastewater treatment and discharge, including groundwater and aquifer pollution."
Supplier and Contractor Performance,Resource Use  Supply Chain focuses on how efficiently and effectively a company manages risks related to water scarcity and raw material inputs (excluding energy and petroleum-based products) within its supply chain.
Environmental Standards,"Land Use and Biodiversity  Supply Chain focuses on how companies manage the impact of their suppliers operations on land, ecosystems and wildlife.Land use and biodiversity categories to be included in a decition, or a project. Comprehensive environmental impact. Good use of land use and biodiversity categories throughout their supply chain to measure and manage key impacts on ecosystem health"
Promotion of Development,"The level of community involvement and public trust. Inputs include customer satisfaction and community relations policies, targets and the monitoring of these as well as a disclosure of employee volunteering hours."
Supplier and Contractor Disclosure,"The mechanisms and policies employed to manage the overall environmental performance of the business. Inputs to this feature relate to environmental lawsuits, investments into resource efficiency and environmental impact reduction as well as the environmental management system of the company."
Environmental Impact,A. Evaluate how the company manages the environmental impacts related to the use of its products/services. B. Evaluate how the company manages the environmental impacts related to the disposal of its products/services.C. Evaluate the company's management of environmental impacts related to product packaging (when relevant to the sector).
Labour rights,"The category addresses a company's ability to create and maintain a safe and healthy workplace environment that is free of injuries, fatalities, and illness (both chronic and acute). It is traditionally accomplished through implementing safety management plans, developing training requirements for employees and contractors, and conducting regular audits of their own practices as well as those of their subcontractors. The category further captures how companies ensure physical and mental health of workforce through technology, training, corporate culture, regulatory compliance, monitoring and testing, and personal protective equipment."
Labour rights,"The category addresses the company's ability to uphold commonly accepted labor standards in the workplace, including compliance with labor laws and internationally accepted norms and standards. This includes, but is not limited to, ensuring basic human rights related to child labor, forced or bonded labor, exploitative labor, fair wages and overtime pay, and other basic workers' rights. It also includes minimum wage policies and provision of benefits, which may influence how a workforce is attracted, retained, and motivated. The category further addresses a company's relationship with organized labor and freedom of association."
Work Environment,"Human Capital focuses on the management of human resources. It includes the management of risks related to scarcity of skilled labor through retention and recruitment programs and includes career development measures such as training programs. Additionally, it includes labor relations issues, such as the management of freedom of association and non-discrimination, as well as working hours and minimum wages."
Shareholders,"This issue evaluates the extent to which companies may face enhanced regulatory scrutiny as a result of their contributions to systemic risk in financial markets. Scores are based on size, interconnectedness, and complexity; risk oversight, governance, and commitments to ethical standards; ""Net Social Value"" generated and distributed to stakeholders; and controversies."
Responsible board,"The procedures and mechanisms in place that ensure proper long-term control and management of the corporation. The feature inputs relate to the board and committee as well as policies and targets surrounding governance issues like shareholder rights, insider trading and many other common problems."
Shareholders,"This issue evaluates corporate transparency and the reliability of reported financials as an aspect of corporate governance. Three accounting-based metrics are based on quantitative analysis of underlying forensic accounting ratios. The assessment also includes five event- triggered metrics, including accounting investigations, qualified auditor opinion, internal controls, restatements or special charges and late filings."
Executive Compensation,Board and Management Quality and Integrity. Board Structure. Ownership and Shareholder Rights. Remuneration. Financial Reporting. Stakeholder Governance
Waste,"This issue evaluates the extent to which companies may face liabilities associated with pollution, contamination, and the emission of toxic or carcinogenic substances. Scores are based on operations generating toxic byproducts, air pollutants, or hazardous waste; strategy, targets and programs to reduce emissions; quantified performance; and controversies."
Environmental Impact,"E&S Impact of Products and Services refers to the management of environmental or social impacts of products or services, including inherent characteristics of input materials, both positive and negative, and impacts during use, disposal and recycling. E&S Impact of Products and Services may include carbon impacts if MEI.8.PS Carbon  Products and Services is not regarded as a material ESG issue for the subindustry."
Environmental Strategy,This issue evaluates the extent to which companies take advantage of opportunities in the market for environmental technologies. Scores are based on exposure to potential opportunities based on business model and policy incentives; innovation capacity and strategic development initiatives; and revenue derived from clean technologies.
Environmental Strategy,"This issue evaluates the extent to which companies take advantage of opportunities to develop/refurbish buildings with lower embodied energy, recycled materials, lower energy/water use, waste reduction, and healthier environments. Scores are based on green property initiatives, tenant engagement and urban site criteria; certified properties; and environmental performance."
Environmental Product Management,"The environmental impact of products and services and the contribution towards sustainable consumerism. This feature includes inputs including, but not limited to, the development of hybrid vehicles, smart water solutions  and sustainable building products as well as offering environmental and renewable/clean energy products. Responsible asset management, the total supply of renewable energy and environmental products targets are also included."
Environmental Product Management,"The category addresses an industry's capacity to manage risks and opportunities associated with incorporating social, environmental, and political transitions into long-term business model planning. This includes responsiveness to the transition to a low-carbon and climate-constrained economy, as well as growth and creation of new markets among unserved and underserved socio-economic populations. The category highlights industries in which evolving environmental and social realities may challenge companies to fundamentally adapt or may put their business models at risk."
Environmental Product Management,"The category addresses incorporation of environmental, social, and governance (ESG) considerations in characteristics of products and services provided or sold by the company. It includes, but is not limited to, managing the lifecycle impacts of products and services, such as those related to packaging, distribution, use-phase resource intensity, and other environmental and social externalities that may occur during their use-phase or at the end of life. The category captures a company's ability to address customer and societal demand for more sustainable products and services as well as to meet evolving environmental and social regulation. It does not address direct environmental or social impacts of the company's operations nor does it address health and safety risks to consumers from product use, which are covered in other categories."
Environmental Impact,"This issue evaluates the extent to which companies may face lost market access or product reformulation costs due to the presence of chemicals of concern. Scores are based on exposure to products known to contain substances of high concern, exposure to evolving regulations; chemical phase-out plans, transparency, and development of viable alternatives; and controversies."
Customers,"A: Prevent product safety risks. B: Manage product safety incidents in an appropriate and responsive way. To promote the safety of consumer products by addressing risks of injury (through coordinating recalls, evaluating products that are the subject of consumer complaints or industry reports, etc.); developing uniform safety standards; and conducting research into product-related illness and injury"
Environmental Product Management,This key issue evaluates the extent to which companies take advantage of opportunities linked to the development of renewable power production. Scores are based on exposure to renewable power subsidies and preferential policies; strategic investments in renewable power generation and related services; and renewable capacity as % of total and trend.
Environmental Standards,A: Monitor the environmental performance of suppliers and contractors. Awareness and disclosure commitments contained in all contracts. The successful management of supplier performance directly affects the quality of the whole supply chain by ensuring  supplier data is accurate
Supplier and Contractor Performance,"The mechanisms and policies employed to manage the overall environmental performance of the business. Inputs to this feature relate to environmental lawsuits, investments into resource efficiency and environmental impact reduction as well as the environmental management system of the company."
Human Capital,"The category addresses a company's ability to create and maintain a safe and healthy workplace environment that is free of injuries, fatalities, and illness (both chronic and acute). It is traditionally accomplished through implementing safety management plans, developing training requirements for employees and contractors, and conducting regular audits of their own practices as well as those of their subcontractors. The category further captures how companies ensure physical and mental health of workforce through technology, training, corporate culture, regulatory compliance, monitoring and testing, and personal protective equipment."
Discrimination,"Human Capital focuses on the management of human resources. It includes the management of risks related to scarcity of skilled labor through retention and recruitment programs and includes career development measures such as training programs. Additionally, it includes labor relations issues, such as the management of freedom of association and non-discrimination, as well as working hours and minimum wages."
Responsible board,Board and Management Quality and Integrity. Board Structure. Ownership and Shareholder Rights. Remuneration. Financial Reporting. Stakeholder Governance
Environmental Strategy,"The category addresses an industry's capacity to manage risks and opportunities associated with incorporating social, environmental, and political transitions into long-term business model planning. This includes responsiveness to the transition to a low-carbon and climate-constrained economy, as well as growth and creation of new markets among unserved and underserved socio-economic populations. The category highlights industries in which evolving environmental and social realities may challenge companies to fundamentally adapt or may put their business models at risk."
Environmental Strategy,"The category addresses incorporation of environmental, social, and governance (ESG) considerations in characteristics of products and services provided or sold by the company. It includes, but is not limited to, managing the lifecycle impacts of products and services, such as those related to packaging, distribution, use-phase resource intensity, and other environmental and social externalities that may occur during their use-phase or at the end of life. The category captures a company's ability to address customer and societal demand for more sustainable products and services as well as to meet evolving environmental and social regulation. It does not address direct environmental or social impacts of the company's operations nor does it address health and safety risks to consumers from product use, which are covered in other categories."
Diversity,"Human Capital focuses on the management of human resources. It includes the management of risks related to scarcity of skilled labor through retention and recruitment programs and includes career development measures such as training programs. Additionally, it includes labor relations issues, such as the management of freedom of association and non-discrimination, as well as working hours and minimum wages."
Forensic Accounting,Board and Management Quality and Integrity. Board Structure. Ownership and Shareholder Rights. Remuneration. Financial Reporting. Stakeholder Governance
Product Safety,"The category addresses an industry's capacity to manage risks and opportunities associated with incorporating social, environmental, and political transitions into long-term business model planning. This includes responsiveness to the transition to a low-carbon and climate-constrained economy, as well as growth and creation of new markets among unserved and underserved socio-economic populations. The category highlights industries in which evolving environmental and social realities may challenge companies to fundamentally adapt or may put their business models at risk."
Product Safety,"The category addresses incorporation of environmental, social, and governance (ESG) considerations in characteristics of products and services provided or sold by the company. It includes, but is not limited to, managing the lifecycle impacts of products and services, such as those related to packaging, distribution, use-phase resource intensity, and other environmental and social externalities that may occur during their use-phase or at the end of life. The category captures a company's ability to address customer and societal demand for more sustainable products and services as well as to meet evolving environmental and social regulation. It does not address direct environmental or social impacts of the company's operations nor does it address health and safety risks to consumers from product use, which are covered in other categories."
Shareholders,Board and Management Quality and Integrity. Board Structure. Ownership and Shareholder Rights. Remuneration. Financial Reporting. Stakeholder Governance
Social Impact,"The category addresses an industry's capacity to manage risks and opportunities associated with incorporating social, environmental, and political transitions into long-term business model planning. This includes responsiveness to the transition to a low-carbon and climate-constrained economy, as well as growth and creation of new markets among unserved and underserved socio-economic populations. The category highlights industries in which evolving environmental and social realities may challenge companies to fundamentally adapt or may put their business models at risk."
Social Impact,"The category addresses incorporation of environmental, social, and governance (ESG) considerations in characteristics of products and services provided or sold by the company. It includes, but is not limited to, managing the lifecycle impacts of products and services, such as those related to packaging, distribution, use-phase resource intensity, and other environmental and social externalities that may occur during their use-phase or at the end of life. The category captures a company's ability to address customer and societal demand for more sustainable products and services as well as to meet evolving environmental and social regulation. It does not address direct environmental or social impacts of the company's operations nor does it address health and safety risks to consumers from product use, which are covered in other categories."
Environmental Impact,"The category addresses an industry's capacity to manage risks and opportunities associated with incorporating social, environmental, and political transitions into long-term business model planning. This includes responsiveness to the transition to a low-carbon and climate-constrained economy, as well as growth and creation of new markets among unserved and underserved socio-economic populations. The category highlights industries in which evolving environmental and social realities may challenge companies to fundamentally adapt or may put their business models at risk."
Environmental Impact,"The category addresses incorporation of environmental, social, and governance (ESG) considerations in characteristics of products and services provided or sold by the company. It includes, but is not limited to, managing the lifecycle impacts of products and services, such as those related to packaging, distribution, use-phase resource intensity, and other environmental and social externalities that may occur during their use-phase or at the end of life. The category captures a company's ability to address customer and societal demand for more sustainable products and services as well as to meet evolving environmental and social regulation. It does not address direct environmental or social impacts of the company's operations nor does it address health and safety risks to consumers from product use, which are covered in other categories."
Animal Testing,"Address the issue of animal testing (when relevant to the sector). How well companies avoid the explotaition of animals whether this is on the form of testing chemicals, medicine, or hormonal treatment that may be harmful to the animals themselves. "
Anti-competitive practices,"This issue evaluates the extent to which companies may face regulatory risks relating to anti- competitive practices. Companies successfully avoiding incident score a ""5"", while companies that have faced controversies in the last three years score lower, based on the severity and type of controversy."
Anti-competitive practices,"The category covers social issues associated with existence of monopolies, which may include, but are not limited to, excessive prices, poor quality of service, and inefficiencies. It addresses a company's management of legal and social expectation around monopolistic and anti-competitive practices, including issues related to bargaining power, collusion, price fixing or manipulation, and protection of patents and intellectual property (IP)."
Anti-competitive practices,"A: Prevent anti-competitive practices - cartels (price-fixing, bid rigging and other ways of agreeing not to compete) - abuse of dominant market position. B: Prevent unfair competition - dumping - violation of industrial property"
Biodiversity,"This issue evaluates the extent to which companies may face lost market access or litigation, liabilities, or reclamation costs due to operations that damage fragile ecosystems. Scores are based on operations involving land disturbance and in regions with fragile ecosystems; policies/programs regarding biodiversity, land use, and community impact; and controversies."
Biodiversity,"The category addresses management of the company's impacts on ecosystems and biodiversity through activities including, but not limited to, land use for exploration, natural resource extraction, and cultivation, as well as project development, construction, and siting. The impacts include, but are not limited to, biodiversity loss, habitat destruction, and deforestation at all stages planning, land acquisition, permitting, development, operations, and site remediation. The category does not cover impacts of climate change on ecosystems and biodiversity."
Biodiversity,"A: Identify the impacts of business operations on biodiversity and establish evaluation systems to assess the health of impacted ecosystems. B: Avoid or reduce the exploitation of sensitive eco-systems C: When there has been exploitation, rehabilitate the ecosystem"
Biodiversity,"Land Use and Biodiversity focuses on how companies manage the impact of their operations on land, ecosystems and wildlife. Topics covered include land conversion, land rehabilitation and forest management, as well as the protection of biodiversity and ecosystems."
Animal Testing,The impact of business activities on biodiversity and animal welfare. Inputs into this feature include the use and regulation of animal products/testing alongside biodiversity impact initiatives and targets such as Forest Stewardship etc.
Capital Structure,The relative level of leverage and how it might take away from a long-term focus in decision making. Inputs will typically include the debt to equity ratio and targets for this.
Capital Structure,"This issue evaluates concerns regarding the company's ownership structure, including the presence of controlling shareholders, differential voting rights across multiple share classes, and majority voting provisions; takeover defenses; and provisions impeding shareholder rights. The presence of a controlling shareholder adjusts the scoring model, placing more focus on related-party transactions and less on board independence."
